Step,Loss,LearningRate,Epoch,StepDuration_Seconds
2820,4.7094,4.72e-06,57,1.0232
2830,4.8446,4.70e-06,57,1.1090
2840,4.4176,4.67e-06,57,1.1205
2850,4.9199,4.64e-06,58,1.1180
2860,4.3038,4.61e-06,58,1.1440
2870,4.5706,4.58e-06,58,1.1317
2880,4.6783,4.55e-06,58,1.1130
2890,4.6290,4.53e-06,58,1.0865
2900,4.4902,4.50e-06,59,1.0070
2910,4.5492,4.47e-06,59,1.1115
2920,4.5033,4.44e-06,59,1.1004
2930,4.4858,4.41e-06,59,1.1036
2940,4.6985,4.39e-06,59,1.0262
2950,4.6215,4.36e-06,60,1.0359
2960,4.4610,4.33e-06,60,1.1427
2970,4.6968,4.30e-06,60,1.0880
2980,4.6050,4.28e-06,60,1.1241
2990,4.6778,4.25e-06,60,1.0914
3000,4.6474,4.22e-06,61,1.0915
3010,4.4257,4.19e-06,61,1.1369
3020,4.4631,4.16e-06,61,1.0642
3030,4.6563,4.14e-06,61,1.0948
3040,4.6329,4.11e-06,61,1.0669
3050,4.5354,4.08e-06,62,1.0683
3060,4.5534,4.05e-06,62,1.0745
3070,4.7246,4.03e-06,62,1.1011
3080,4.4415,4.00e-06,62,1.0661
3090,4.6095,3.97e-06,62,1.1528
3100,4.4944,3.95e-06,63,1.0453
3110,4.4894,3.92e-06,63,1.0807
3120,4.6842,3.89e-06,63,1.0680
3130,4.6405,3.86e-06,63,1.1623
3140,4.6361,3.84e-06,63,1.0998
3150,4.7073,3.81e-06,64,1.1416
3160,4.5121,3.78e-06,64,1.0157
3170,4.6086,3.76e-06,64,1.1034
3180,4.4573,3.73e-06,64,1.1345
3190,4.5499,3.70e-06,64,1.0941
3200,4.4793,3.68e-06,65,1.1433
3210,4.5108,3.65e-06,65,1.0641
3220,4.5831,3.63e-06,65,1.1605
3230,4.3687,3.60e-06,65,1.2049
3240,4.8028,3.57e-06,65,1.0719
3250,4.3357,3.55e-06,66,1.0677
3260,4.3021,3.52e-06,66,1.1627
3270,4.6556,3.50e-06,66,1.1690
3280,4.5983,3.47e-06,66,1.0639
3290,4.5708,3.44e-06,66,1.0690
3300,4.5691,3.42e-06,67,1.0759
3310,4.4708,3.39e-06,67,1.0228
3320,4.3358,3.37e-06,67,1.0441
3330,4.4795,3.34e-06,67,1.0398
3340,4.3643,3.32e-06,67,1.0516
3350,4.6099,3.29e-06,68,1.0883
3360,4.4394,3.27e-06,68,1.1017
3370,4.3355,3.24e-06,68,1.1675
3380,4.4090,3.22e-06,68,1.0401
3390,4.5170,3.19e-06,68,1.1392
3400,4.3684,3.17e-06,69,1.0793
3410,4.3275,3.14e-06,69,1.0875
